dtype,method,repeat,size,block_size,input_scale,scaled_result,result,fp64_reference,reference_basis,absolute_error,relative_error,elapsed_ms,status,reason
bfloat16,random,7,4096,,0.0067644241528043705,1800.0,266098.03870056884,277241.1193390583,dtype_quantized_input,11143.080638489453,0.040192741484576716,3.1534160079900175,ok,
bfloat16,random,8,4096,,0.0067644241528043705,1800.0,266098.03870056884,277241.1193390583,dtype_quantized_input,11143.080638489453,0.040192741484576716,3.1039159948704764,ok,
bfloat16,random,9,4096,,0.0067644241528043705,1800.0,266098.03870056884,277241.1193390583,dtype_quantized_input,11143.080638489453,0.040192741484576716,3.1826249905861914,ok,
bfloat16,random,10,4096,,0.0067644241528043705,1800.0,266098.03870056884,277241.1193390583,dtype_quantized_input,11143.080638489453,0.040192741484576716,14.22366600309033,ok,
bfloat16,fixed_tree,1,4096,,0.0067644241528043705,1872.0,276741.9602485916,277241.1193390583,dtype_quantized_input,499.15909046668094,0.0018004511439597207,0.03658300556708127,ok,
bfloat16,fixed_tree,2,4096,,0.0067644241528043705,1872.0,276741.9602485916,277241.1193390583,dtype_quantized_input,499.15909046668094,0.0018004511439597207,0.023125001462176442,ok,
bfloat16,fixed_tree,3,4096,,0.0067644241528043705,1872.0,276741.9602485916,277241.1193390583,dtype_quantized_input,499.15909046668094,0.0018004511439597207,0.022124993847683072,ok,
bfloat16,fixed_tree,4,4096,,0.0067644241528043705,1872.0,276741.9602485916,277241.1193390583,dtype_quantized_input,499.15909046668094,0.0018004511439597207,0.02258399035781622,ok,
bfloat16,fixed_tree,5,4096,,0.0067644241528043705,1872.0,276741.9602485916,277241.1193390583,dtype_quantized_input,499.15909046668094,0.0018004511439597207,0.021500003640539944,ok,
bfloat16,fixed_tree,6,4096,,0.0067644241528043705,1872.0,276741.9602485916,277241.1193390583,dtype_quantized_input,499.15909046668094,0.0018004511439597207,0.0212500017369166,ok,
bfloat16,fixed_tree,7,4096,,0.0067644241528043705,1872.0,276741.9602485916,277241.1193390583,dtype_quantized_input,499.15909046668094,0.0018004511439597207,0.021166997612453997,ok,
bfloat16,fixed_tree,8,4096,,0.0067644241528043705,1872.0,276741.9602485916,277241.1193390583,dtype_quantized_input,499.15909046668094,0.0018004511439597207,0.021166997612453997,ok,
bfloat16,fixed_tree,9,4096,,0.0067644241528043705,1872.0,276741.9602485916,277241.1193390583,dtype_quantized_input,499.15909046668094,0.0018004511439597207,0.021082989405840635,ok,
bfloat16,fixed_tree,10,4096,,0.0067644241528043705,1872.0,276741.9602485916,277241.1193390583,dtype_quantized_input,499.15909046668094,0.0018004511439597207,0.02112500078510493,ok,
float32,forward,1,4096,,0.0067644241528043705,1879.3760986328125,277832.385459399,277832.45838248613,dtype_quantized_input,0.0729230871074833,2.6247144603634327e-07,2.9273749969433993,ok,
float32,forward,2,4096,,0.0067644241528043705,1879.3760986328125,277832.385459399,277832.45838248613,dtype_quantized_input,0.0729230871074833,2.6247144603634327e-07,2.9952089971629903,ok,
float32,forward,3,4096,,0.0067644241528043705,1879.3760986328125,277832.385459399,277832.45838248613,dtype_quantized_input,0.0729230871074833,2.6247144603634327e-07,2.973083988763392,ok,
float32,forward,4,4096,,0.0067644241528043705,1879.3760986328125,277832.385459399,277832.45838248613,dtype_quantized_input,0.0729230871074833,2.6247144603634327e-07,2.9611669888254255,ok,
float32,forward,5,4096,,0.0067644241528043705,1879.3760986328125,277832.385459399,277832.45838248613,dtype_quantized_input,0.0729230871074833,2.6247144603634327e-07,3.0634169961558655,ok,
